director_name,actor_2_name,gross,actor_1_name,actor_3_name,facenumber_in_poster,budget,imdb_score
Oliver Stone,Austin Pendleton,52474616,Frank Langella,John Buffalo Mailer,2,70000000,6.3
Gary Shore,Sarah Gadon,55942830,Dominic Cooper,Zach McGowan,1,70000000,6.3
Edward Zwick,Bruce Willis,40932372,Denzel Washington,Mark Valley,0,70000000,6.3
Matthew Vaughn,David Kelly,38345403,Henry Cavill,Nathaniel Parker,8,70000000,7.7
Jean-Jacques Annaud,Mako,37901509,Brad Pitt,Victor Wong,1,70000000,7
Ron Howard,Clint Howard,48430355,Channing Tatum,Chelcie Ross,2,70000000,5.3
Joel Schumacher,Brooke Smith,30157016,Anthony Hopkins,Garcelle Beauvais,2,70000000,5.6
Andrzej Bartkowiak,Ben Daniels,28031250,Dwayne Johnson,Dexter Fletcher,0,60000000,5.2
Betty Thomas,Phill Lewis,33105600,Gary Cole,Tate Taylor,1,70000000,5.4
Måns Mårlind,Stephen Rea,62321039,Theo James,Sandrine Holt,1,70000000,6.4
Adam Shankman,Shane Hartline,38509342,James Martin Kelly,Celina Beach,7,75000000,5.9
Gregory Hoblit,Cole Hauser,19076815,Bruce Willis,Rory Cochrane,0,60000000,6.3
Gary McKendry,Robert De Niro,25093607,Jason Statham,Ben Mendelsohn,2,35000000,6.5
John McTiernan,Chris Klein,18990542,LL Cool J,Andrew Bryniarski,3,70000000,3
Wych Kaosayananda,Sandrine Holt,14294842,Talisa Soto,Gregg Henry,1,70000000,3.6
Mikael Salomon,Minnie Driver,19819494,Morgan Freeman,Randy Quaid,0,70000000,5.8
Bobby Farrelly,Brandy Norwood,13596911,Ron Howard,David Hyde Pierce,0,70000000,6.2
Will Finn,Oliver Platt,8460990,Lea Michele,Jim Belushi,1,70000000,5.6
Michael Mann,Archie Kao,7097125,Chris Hemsworth,Brandon Molale,1,70000000,5.4
Kerry Conran,Laurence Olivier,37760080,Angelina Jolie Pitt,Bai Ling,2,70000000,6.1
Michael Caton-Jones,Indira Varma,5851188,Charlotte Rampling,Neil Maskell,1,70000000,4.2
Mikael Håfström,50 Cent,25121291,Sylvester Stallone,Matt Gerald,1,50000000,6.7
Renny Harlin,Luke Newberry,18821279,Roxanne McKee,Gaia Weiss,0,70000000,4.2
Phil Alden Robinson,Bruce McGill,118471320,Morgan Freeman,Philip Baker Hall,0,68000000,6.4
David Slade,Kristen Stewart,300523113,Robert Pattinson,Anna Kendrick,3,68000000,4.9
Frank Oz,Marlon Brando,71069884,Robert De Niro,Gary Farmer,0,68000000,6.8
Pierre Coffin,Miranda Cosgrove,251501645,Steve Carell,Jack McBrayer,0,69000000,7.7
Joseph Ruben,Robert Blake,35324232,Vincent Pastore,Aida Turturro,1,68000000,5.6
Seth MacFarlane,Morgan Freeman,81257500,Liam Neeson,Seth MacFarlane,0,68000000,6.4
Alejandro Amenábar,Ashraf Barhom,617840,Max Minghella,Rupert Evans,2,70000000,7.2
Kinka Usher,Wes Studi,29655590,Janeane Garofalo,Eddie Izzard,4,65000000,6
Bobby Farrelly,Larry Joe Campbell,45045037,Jenna Fischer,Stephen Merchant,3,36000000,5.9
Michael Mann,Rip Torn,28965197,Al Pacino,Debi Mazar,1,68000000,7.9
Craig Gillespie,Abraham Benrubi,27550735,Michael Raymond-James,Graham McTavish,0,,6.8
Ridley Scott,Simon McBurney,39380442,Leonardo DiCaprio,Michael Gaston,1,70000000,7.1
Jay Roach,Stephanie Szostak,72980108,Steve Carell,Bruce Greenwood,2,,5.9
Timur Bekmambetov,Dominic Cooper,37516013,Rufus Sewell,Benjamin Walker,0,69000000,5.9
Jon Amiel,Kevin McNally,87704396,Will Patton,Maury Chaykin,1,66000000,6.2
,Kaitlyn Dever,,Hector Elizondo,Nancy Travis,1,,7.4
Rob Bowman,Mitch Pileggi,83892374,Martin Landau,Jeffrey DeMunn,0,66000000,7
Doug Lefler,Nonso Anozie,5932060,Colin Firth,Owen Teale,0,35000000,5.4
Steven Spielberg,Vin Diesel,216119491,Tom Hanks,Matt Damon,2,70000000,8.6
Scott Waugh,Dominic Cooper,43568507,Rami Malek,Ramon Rodriguez,1,66000000,6.5
Nancy Meyers,Lisa Edelstein,182805123,Judy Greer,Loretta Devine,1,70000000,6.4
Chris Wedge,Stephen Root,176387405,Goran Visnjic,Denis Leary,0,59000000,7.6
Lawrence Kasdan,Michael O'Neill,33685268,Morgan Freeman,Reece Thompson,1,68000000,5.5
Steven Spielberg,Hal Holbrook,182204440,Joseph Gordon-Levitt,Bruce McGill,0,65000000,7.4
Lana Wachowski,Marcus Chong,171383253,Keanu Reeves,Gloria Foster,3,63000000,8.7
Ron Howard,Miko Hughes,172071312,Tom Hanks,Kathleen Quinlan,0,62000000,7.6
Paul Verhoeven,Rachel Ticotin,119412921,Ronny Cox,Marshall Bell,0,65000000,7.5
Michael Lembeck,Aisha Tyler,139225854,Judge Reinhold,Eric Lloyd,0,60000000,5.5
Tom Hooper,Eddie Redmayne,148775460,Hugh Jackman,Anne Hathaway,1,61000000,7.6
Nora Ephron,Jean Stapleton,115731542,Tom Hanks,Dave Chappelle,2,65000000,6.5
Adam McKay,Adam Scott,100468793,Will Ferrell,Andrea Savage,2,65000000,6.9
Martin Campbell,Tony Amendola,93771072,Anthony Hopkins,Stuart Wilson,0,65000000,6.7
Todd Phillips,RZA,100448498,Robert Downey Jr.,Matt Walsh,3,65000000,6.6
Angelina Jolie Pitt,Jack O'Connell,115603980,Finn Wittrock,Alex Russell,0,65000000,7.2
Clint Eastwood,Courtney B. Vance,90454043,Clint Eastwood,William Devane,1,65000000,6.4
Renny Harlin,Leon,84049211,Sylvester Stallone,Janine Turner,1,70000000,6.4
John Woo,Samantha Mathis,70450000,Delroy Lindo,Bob Gunton,2,50000000,6
Jon Turteltaub,Lily Tomlin,69688384,Bruce Willis,Daniel von Bargen,1,60000000,6.1
Oliver Stone,Jay Hernandez,70236496,Nicolas Cage,Armando Riesco,0,63000000,6
Mike Newell,Kirsten Dunst,63695760,Julia Roberts,Marian Seldes,1,65000000,6.4
Larry Charles,Aasif Mandvi,59617068,Sayed Badreya,Horatio Sanz,0,65000000,6.4
Stanley Kubrick,Vinessa Shaw,55637680,Tom Cruise,Sydney Pollack,1,65000000,7.3
Will Gluck,Dorian Missick,85911262,Quvenzhané Wallis,David Zayas,6,65000000,5.2
Glenn Ficarra,Adrian Martinez,53846915,Will Smith,Gerald McRaney,0,50100000,6.6
McG,Abigail Spencer,54758461,Tom Hardy,Warren Christie,3,65000000,6.3
David S. Goyer,Natasha Lyonne,52397389,Ryan Reynolds,John Michael Higgins,0,65000000,5.9
John Milius,Jennifer Grey,,Lea Thompson,William Smith,0,16900000,6.4
Mike Nichols,Adrian Lester,38966057,Maura Tierney,Paul Guilfoyle,0,65000000,6.7
Paul W.S. Anderson,Boris Kodjoe,42345531,Milla Jovovich,Bingbing Li,0,65000000,5.4
Paul W.S. Anderson,Max Ryan,36064910,Jason Statham,Joan Allen,4,45000000,6.4
Renny Harlin,Craig Bierko,33328051,Melina Kanakaredes,Yvonne Zima,2,65000000,6.7
Taylor Hackford,Alun Armstrong,32598931,Pamela Reed,Michael Kitchen,1,65000000,6.2
Jon Favreau,Josh Hutcherson,28045540,Kristen Stewart,Jonah Bobo,0,65000000,6.1
David Fincher,Meat Loaf,37023395,Brad Pitt,Eugenie Bondurant,2,63000000,8.8
McG,Kimberly Williams-Paisley,43532294,Matthew McConaughey,Brian Geraghty,0,65000000,7.1
,James Nesbitt,,Jason Flemyng,Frances O'Connor,0,,8.1
Michael Lehmann,James Coburn,17218080,Bruce Willis,Richard E. Grant,0,70000000,5.7
Nora Ephron,Michael Moore,10014234,Michael Rapaport,Richard Schiff,1,65000000,5
Stuart Beattie,Kevin Grevioux,19059018,Caitlin Stasey,Miranda Otto,0,65000000,5.1
Roman Polanski,Barney Clark,1987287,Ian McNeice,Tony Noble,0,50000000,6.9
Rob Bowman,Cary-Hiroyuki Tagawa,24407944,Jennifer Garner,Goran Visnjic,0,43000000,4.8
Frank Miller,Bruce Willis,13750556,Joseph Gordon-Levitt,Eva Green,3,65000000,6.5
Sydney Pollack,Kristin Scott Thomas,31054924,Harrison Ford,Bill Cobbs,1,64000000,5.1
Baltasar Kormákur,Martin Henderson,43247140,Michael Kelly,Tom Goodman-Hill,0,55000000,7.1
Tom Tykwer,David Calder,2208939,Michael Smiley,Simon Chandler,0,50000000,7.5
Jay Roach,Josh Zuckerman,213079163,Verne Troyer,Robert Wagner,2,63000000,6.2
David Bowers,Charlize Theron,19548064,Nicolas Cage,Dee Bradley Baker,1,65000000,6.3
Steven Spielberg,Ariana Richards,356784000,Wayne Knight,Bob Peck,0,63000000,8.1
Lawrence Kasdan,Catherine O'Hara,25052000,Dennis Quaid,Isabella Rossellini,0,63000000,6.6
Phillip Noyce,Dean Jones,122012710,Harrison Ford,Raymond Cruz,1,62000000,6.9
Daniel Lee,Peng Lin,72413,Si Won Choi,Sung-jun Yoo,3,65000000,6.1
Keenen Ivory Wayans,Brittany Daniel,58255287,Chazz Palminteri,John Witherspoon,1,64000000,4.3
Jonathan Mostow,Thomas Kretschmann,77086030,Matthew McConaughey,David Keith,0,62000000,6.6
Rob Reiner,Samantha Mathis,65000000,Shawna Waldron,Wendie Malick,0,62000000,6.8
Marco Schnabel,Romany Malco,32178777,Justin Timberlake,Verne Troyer,6,62000000,3.8
Demian Lichtenstein,Bokeem Woodbine,15738632,Jon Lovitz,Ice-T,2,42000000,5.9
Quentin Tarantino,Jennifer Jason Leigh,54116191,Craig Stark,Zoë Bell,1,44000000,7.9
Josh Gordon,Amy Poehler,118153533,Will Ferrell,Jon Heder,2,61000000,6.3
Tim Hill,Elizabeth Perkins,108012170,Gary Cole,Chelsea Handler,0,63000000,5.5
Zack Snyder,Michael Fassbender,210592590,Gerard Butler,Vincent Regan,0,65000000,7.7
Jay Roach,Blythe Danner,279167575,Robert De Niro,Teri Polo,6,80000000,6.3
David Frankel,Kathleen Turner,143151473,Eric Dane,Haley Bennett,0,60000000,7.1
Frank Darabont,Jeffrey DeMunn,136801374,Tom Hanks,Michael Jeter,0,60000000,8.5
Walt Becker,Tichina Arnold,168213584,Jill Hennessy,Drew Sidora,3,,5.9
Mark Dindal,Fred Willard,135381507,Catherine O'Hara,Amy Sedaris,0,150000000,5.8
David Fincher,Sela Ward,167735396,Patrick Fugit,Emily Ratajkowski,0,61000000,8.1
Doug Liman,Josh Hamilton,121468960,Matt Damon,Nicky Naudé,1,60000000,7.9
Martin Campbell,Joe Don Baker,106635996,Izabella Scorupco,Tchéky Karyo,2,58000000,7.2
Simon West,Timothy Hutton,102678089,Daniel von Bargen,Clarence Williams III,0,95000000,6.3
Peter Weir,Noah Emmerich,125603360,Natascha McElhone,Peter Krause,1,60000000,8.1
Brenda Chapman,Aria Noelle Curzon,101217900,Martin Short,Eden Riegel,2,70000000,7
Steve Carr,Lisa Edelstein,104148781,Anjelica Huston,Jeff Garlin,1,60000000,5.5
Baltasar Kormákur,Patrick Fischler,75573300,Denzel Washington,Fred Ward,1,61000000,6.7
Lawrence Guterman,Elizabeth Perkins,93375151,Carol Ann Susi,Miriam Margolyes,0,60000000,5.2
F. Gary Gray,Charlize Theron,106126012,Jason Statham,Jimmy Shubert,6,60000000,7
Marc Lawrence,Alicia Witt,93307796,Dorian Missick,Dana Ivey,2,60000000,6.1
Eric Darnell,Woody Allen,90646554,Sylvester Stallone,Anne Bancroft,0,105000000,6.6
Peter Billingsley,Kristin Davis,109176215,Jon Favreau,Tasha Smith,6,60000000,5.5
Tony Scott,Robert Duvall,82670733,Tom Cruise,Randy Quaid,0,60000000,5.9
Adam Shankman,Tom Welling,82569532,Taylor Lautner,Alyson Stoner,6,60000000,5.4
Wes Ball,Lili Taylor,81687587,Ki Hong Lee,Rosa Salazar,0,61000000,6.4
Ryan Murphy,Julia Roberts,80574010,James Franco,Billy Crudup,1,60000000,5.7
Brett Ratner,Don Cheadle,75764085,Nicolas Cage,Amber Valletta,1,60000000,6.7
Robert Schwentke,Morgan Freeman,90356857,Bruce Willis,Jaqueline Fleming,4,58000000,7.1
Oliver Stone,Dennis Quaid,75530832,Al Pacino,LL Cool J,5,55000000,6.8
Robert Redford,Kristin Scott Thomas,75370763,Scarlett Johansson,Jessalyn Gilsig,0,60000000,6.5
Michael Mann,Jada Pinkett Smith,100003492,Tom Cruise,Debi Mazar,0,65000000,7.6
Chuck Russell,Roger Rees,90341670,Dwayne Johnson,Bernard Hill,4,60000000,5.5
Jay Russell,Jay Hernandez,74540762,Billy Burke,Jacinda Barrett,2,55000000,6.5
Christopher McQuarrie,Robert Duvall,80033643,Tom Cruise,David Oyelowo,2,60000000,7
Renny Harlin,Michael Rapaport,73648142,LL Cool J,Saffron Burrows,1,60000000,5.8
Kenny Ortega,Mekia Cox,71844424,Misha Gabriel Hamilton,Judith Hill,0,60000000,7.3
Steven Soderbergh,Monique Gabriela Curnen,75638743,Matt Damon,Griffin Kane,4,60000000,6.6
David McNally,Dyan Cannon,66734992,Estella Warren,Bill Hunter,0,60000000,4.4
Henry Selick,Dawn French,75280058,Jennifer Saunders,John Hodgman,1,60000000,7.7
M. Night Shyamalan,Alan Ruck,64505912,Zooey Deschanel,Kristen Connolly,0,48000000,5
Tony Scott,Radha Mitchell,77862546,Denzel Washington,Giancarlo Giannini,2,70000000,7.7
Brian Robbins,Joel David Moore,61112916,Robert Downey Jr.,Kristin Davis,0,50000000,4.4
Todd Phillips,Carmen Electra,88200225,Snoop Dogg,Fred Williamson,5,60000000,6.1
Brian Levant,Harvey Korman,60573641,Jim Belushi,Jake Lloyd,1,60000000,5.4
Guillermo del Toro,Rupert Evans,59035104,James Babson,Brian Steele,1,66000000,6.8
Steven Zaillian,Kathleen Quinlan,56702901,Robert Duvall,Sydney Pollack,1,60000000,6.5
Chris Butler,Kodi Smit-McPhee,55994557,Anna Kendrick,Elaine Stritch,0,60000000,7
Michael Caton-Jones,Bruce Willis,54910560,J.K. Simmons,Sophie Okonedo,0,60000000,6.3
John Woo,Joe Morton,53789313,Ivana Milicevic,Callum Rennie,0,60000000,6.3
Jon Avnet,Stockard Channing,51045801,Joe Mantegna,Raymond Cruz,2,60000000,6.1
Sam Fell,Matthew Broderick,50818750,Emma Watson,Frank Langella,0,60000000,6.1
,Oliver Hudson,,Bianca Kajlich,Adhir Kalyan,3,,7.3
Kevin Donovan,Debi Mazar,50189179,Romany Malco,Ritchie Coster,2,60000000,5.3
Geoff Murphy,Brenda Bakke,50024083,Peter Greene,Patrick Kilpatrick,1,60000000,5.4
Kenneth Branagh,Nonso Anozie,50549107,Colm Feore,Gemma Chan,3,60000000,6.2
David O. Russell,Robert De Niro,56443482,Jennifer Lawrence,Bradley Cooper,3,60000000,6.6
Babak Najafi,Radha Mitchell,62401264,Gerard Butler,Julian Kostov,3,60000000,5.9
Jean-Pierre Jeunet,Michael Wincott,47748610,Gary Dourdan,Raymond Cruz,0,75000000,6.3
Antoine Fuqua,Ned Beatty,46975183,Tate Donovan,Louis Ferreira,0,61000000,7.2
Graham Annable,Dee Bradley Baker,50807639,Isaac Hempstead Wright,Tracy Morgan,3,60000000,6.8
Griffin Dunne,Dianne Wiest,46611204,Goran Visnjic,Stockard Channing,1,48000000,6.1
Phil Lord,Will Ferrell,257756197,Morgan Freeman,Alison Brie,0,60000000,7.8
John Pasquin,Diedrich Bader,48472213,Eileen Brennan,Treat Williams,2,45000000,5
Rob Bowman,Gerard Butler,43060566,Christian Bale,Matthew McConaughey,0,60000000,6.2
Ruben Fleischer,Brandon Molale,45996718,Ryan Gosling,Wade Williams,3,60000000,6.7
Harold Ramis,Oliver Platt,43337279,Olivia Wilde,Xander Berkeley,2,60000000,4.9
Clint Eastwood,Morgan Freeman,37479778,Matt Damon,Leleti Khumalo,1,60000000,7.4
Kevin Macdonald,Harry Lennix,36965395,Robin Wright,Michael Weston,3,,7.1
Tony Gilroy,Tom Wilkinson,40559930,Julia Roberts,Denis O'Hare,0,60000000,6.2
Donald Petrie,Ray Walston,36830057,Steven Anthony Lawrence,Michael Lerner,2,65000000,4.9
Clark Johnson,David Rasche,36279230,Blair Brown,Martin Donovan,0,60000000,6.1
Jorge Blanco,Gary Oldman,42194060,Dwayne Johnson,James Corden,1,70000000,6.1
Stuart Baird,LeVar Burton,43119879,Tom Hardy,Jonathan Frakes,0,60000000,6.4
Joel Coen,Paul Adelstein,35096190,Cedric the Entertainer,Julia Duffy,1,60000000,6.3
Robert Lorenz,Ed Lauter,35754555,Clint Eastwood,Bob Gunton,0,,6.8
Martin Campbell,Ray Winstone,43290977,Bojana Novakovic,Denis O'Hare,1,80000000,6.6
Peter Hyams,Penelope Ann Miller,33927476,John Kapelos,Chi Muoi Lo,0,40000000,5.7
Harold Ramis,Cathy Moriarty,32122249,Robert De Niro,Joe Viterelli,1,60000000,5.9
Jon Avnet,Al Pacino,40076438,Robert De Niro,50 Cent,2,60000000,6
Harold Becker,Miko Hughes,32940507,Bruce Willis,Carrie Preston,1,60000000,6.1
Joe Wright,Stephen Root,31670931,Robert Downey Jr.,Rachael Harris,0,60000000,6.7
Robert Redford,Will Smith,30695227,Matt Damon,Charlize Theron,3,60000000,6.7
Cameron Crowe,Zooey Deschanel,32522352,Philip Seymour Hoffman,Michael Angarano,1,60000000,7.9
Tim Hill,Roger Rees,28424210,Bill Murray,Ben Falcone,0,,5
Lee Tamahori,Nona Gaye,26082914,Sunny Mabrey,Xzibit,2,87000000,4.3
Scott Stewart,Alan Dale,29136626,Josh Wingate,Jacob Hopkins,0,60000000,5.7
Patrick Gilmore,Adriano Giannini,26288320,Brad Pitt,Timothy West,0,60000000,6.7
Paul W.S. Anderson,Joely Richardson,26616590,Sean Pertwee,Kathleen Quinlan,0,60000000,6.7
Joss Whedon,Robert Downey Jr.,623279547,Chris Hemsworth,Scarlett Johansson,3,220000000,8.1
Tom Shadyac,Susanna Thompson,30063805,Joe Morton,Matt Craven,0,60000000,6.1
Brian De Palma,Mia Kirshner,22518325,Scarlett Johansson,Mike Starr,0,50000000,5.6
Tony Bill,Tyler Labine,13082288,James Franco,Philip Winchester,1,60000000,6.6
Rod Lurie,Delroy Lindo,18208078,Clifton Collins Jr.,Michael Irby,3,60000000,6.9
Walter Hill,Wilson Cruz,14218868,Robert Forster,Vanessa Marshall,0,65000000,4.8
Akiva Goldsman,William Hurt,22451,Matt Bomer,Kevin Corrigan,0,60000000,6.2
Harald Zwart,Kevin Zegers,31165421,Aidan Turner,CCH Pounder,3,60000000,6
Brian Robbins,Mike O'Malley,11802056,Marc Blucas,Shawn Christian,1,60000000,4.9
Walter Salles,Camryn Manheim,25472967,Dougray Scott,Ariel Gade,2,30000000,5.6
Ron Howard,Adam Goldberg,22362500,Matthew McConaughey,Clint Howard,0,55000000,6.1
Iain Softley,Stephen Graham,17281832,Brendan Fraser,Jamie Foreman,3,60000000,6.1
Frank Miller,Jaime King,19781879,Scarlett Johansson,Louis Lombardi,1,60000000,4.8
David Koepp,Olivia Munn,7605668,Johnny Depp,Ulrich Thomsen,2,60000000,5.5
Uwe Boll,Mike Dopud,4535117,Jason Statham,Tania Saulnier,3,60000000,3.8
Martin Campbell,Teri Polo,4426297,Angelina Jolie Pitt,Noah Emmerich,2,35000000,6.5
Pou-Soi Cheang,Aaron Kwok,,Li Gong,Eddie Peng,1,68005000,6
John Dahl,Clayne Crawford,10166502,James Franco,Paolo Montalban,0,80000000,6.7
Tim Miller,Ed Skrein,363024263,Ryan Reynolds,Stefan Kapicic,0,58000000,8.1
Stephen Herek,Morgan Fairchild,12065985,Kelly Preston,Eric McCormack,1,60000000,4.9
Clint Eastwood,Leonard Roberts,350123553,Bradley Cooper,Keir O'Donnell,0,58800000,7.3
Rob Letterman,Dylan Minnette,80021740,Odeya Rush,Ken Marino,4,58000000,6.4
,Soleil Moon Frye,,Nate Richert,Caroline Rhea,1,3000000,6.6
Mark Waters,Ivana Milicevic,48291624,Jon Heder,Willie Garson,1,58000000,6.7
Brian Levant,Mark Addy,35231365,Taylor Negron,Danny Woodburn,0,60000000,3.6
Peter MacDonald,Kurtwood Smith,53715611,Sylvester Stallone,Richard Crenna,1,63000000,5.7
George Clooney,Malcolm Goodwin,31199215,Robert Baker,Matt Bushell,8,58000000,6
Frank Coraci,Adam Sandler,,Taylor Lautner,Jon Lovitz,4,,4.9
Marc Lawrence,Kim Shaw,29580087,Michael Kelly,Kevin Brown,2,58000000,4.7
Shawn Levy,Jessica Szohr,44665963,Josh Gad,Rob Riggle,2,58000000,6.3
Paul W.S. Anderson,Boris Kodjoe,60128566,Milla Jovovich,Shawn Roberts,1,60000000,5.9
Anthony Hemingway,Nate Parker,49875589,David Oyelowo,Tristan Mack Wilds,0,58000000,5.9
,Kristin Davis,,Chris Noth,Cynthia Nixon,0,,7
Taylor Hackford,Al Pacino,60984028,Keanu Reeves,Charlize Theron,2,57000000,7.5
Sean Anders,Leighton Meester,36931089,Adam Sandler,Will Forte,2,70000000,5.6
Rob Cohen,Brian Thompson,51317350,Dennis Quaid,Terry O'Neill,0,57000000,6.4
Brett Ratner,Don Cheadle,28328132,Salma Hayek,Chris Penn,2,58000000,6.3
Mark Neveldine,Spencer Wilding,51774002,Nicolas Cage,Christopher Lambert,1,57000000,4.3
John Madden,Irene Papas,25528495,Christian Bale,Mihalis Giannatos,2,57000000,5.9
,Noureen DeWulf,,Barry Corbin,Brian Austin Green,1,,6.7
Adam Shankman,Brad Garrett,113006880,Vin Diesel,Tate Donovan,0,56000000,5.5
Kevin Bray,Ashley Scott,45860039,Dwayne Johnson,Michael Bowen,1,56000000,6.2
Robert Zemeckis,Siobhan Fallon Hogan,329691196,Tom Hanks,Sam Anderson,0,55000000,8.8
Tim Hill,Beth Riesgraf,217326336,Jesse McCartney,Matthew Gray Gubler,0,60000000,5.2
Jay Roach,Blythe Danner,166225040,Robert De Niro,Teri Polo,2,55000000,7
Mike Gabriel,Frank Welker,141600000,Christian Bale,Irene Bedard,1,55000000,6.6
Richard Donner,Margot Kidder,134218018,Marlon Brando,Ned Beatty,0,55000000,7.3
Tom Shadyac,James Coburn,128769345,Jada Pinkett Smith,Dave Chappelle,1,54000000,5.6
Andy Tennant,Michael Rapaport,177575142,Will Smith,Kevin Sussman,1,70000000,6.6
Sam Weisman,Abraham Benrubi,105263257,Brendan Fraser,Holland Taylor,0,55000000,5.4
Jesse Dylan,Thomas Ian Nicholas,104354205,Alyson Hannigan,Fred Willard,3,55000000,6.3
Paul Greengrass,Chris Mulkey,107100855,Tom Hanks,Michael Chernus,0,55000000,7.9
Shawn Levy,James Franco,98711404,Mila Kunis,Steve Carell,2,55000000,6.3
Brad Silberling,Fred Rogers,100328194,Eric Idle,Cathy Moriarty,0,50000000,6
Antoine Fuqua,Chloë Grace Moretz,101530738,Denzel Washington,James Wilcox,0,55000000,7.2
Wayne Wang,Frances Conroy,93815117,Bob Hoskins,Natasha Richardson,2,55000000,5.1
Tony Scott,Viggo Mortensen,91400000,Denzel Washington,Ricky Schroder,0,53000000,7.3
Gabriele Muccino,Kurt Fuller,162586036,Will Smith,James Karen,0,55000000,8
Robert Schwentke,Michael Irby,89706988,Erika Christensen,Haley Ramm,1,55000000,6.2
Barry Levinson,Dylan Baker,83000000,Demi Moore,Roma Maffia,0,55000000,6
Brad Silberling,Andre Braugher,78745923,Nicolas Cage,Colm Feore,1,55000000,6.7
Quentin Tarantino,Vivica A. Fox,70098138,David Carradine,Chiaki Kuriyama,0,30000000,8.1
Frank Oz,Adam Alexi-Malle,66365290,Robert Downey Jr.,Jamie Kennedy,2,55000000,6.4
,Don S. Davis,,Christopher Judge,Gary Jones,4,1400000,8.4
Quentin Tarantino,Michael Parks,66207920,Vivica A. Fox,Michael Bowen,0,30000000,8
Andrey Konchalovskiy,Jack Palance,63408614,Sylvester Stallone,Brion James,1,55000000,6.3
Robert Zemeckis,Meryl Streep,58422650,Bruce Willis,Isabella Rossellini,3,55000000,6.4
Tom Dey,Jason Connery,56932305,Xander Berkeley,Kate Luyben,2,55000000,6.6
Stuart Baird,Joe Morton,68750000,Oliver Platt,J.T. Walsh,0,55000000,6.4
Mark Waters,Ophelia Lovibond,68218041,Madeline Carroll,Philip Baker Hall,1,55000000,6
Rob Minkoff,Thomas McDonell,25040293,Jet Li,Michael Angarano,0,55000000,6.6
Jimmy Hayward,Carlos Ponce,55747724,Amy Poehler,Dan Fogler,1,55000000,5.9
David Fincher,Holt McCallany,55473600,Charles S. Dutton,Paul McGann,0,50000000,6.4
Alan Parker,Jimmy Nail,49994804,Andrea Corr,Peter Polycarpou,1,55000000,6.3
John Frankenheimer,Natascha McElhone,41609593,Robert De Niro,Michael Lonsdale,2,55000000,7.3
Stephen Hopkins,Bernard Hill,38553833,Tom Wilkinson,Om Puri,0,55000000,6.8
Paul King,Matt Lucas,76137505,Julie Walters,Sally Hawkins,0,55000000,7.2
Akiva Schaffer,Nicholas Braun,34350553,Will Forte,Rosemarie DeWitt,4,68000000,5.7
William Friedkin,Jenna Boyd,34238611,Connie Nielsen,Rex Linn,1,55000000,6
Jon Turteltaub,Maura Tierney,34098563,Anthony Hopkins,John Ashton,1,55000000,6.5
Bobby Farrelly,Terence Bernie Hines,33828318,Matt Damon,Seymour Cassel,2,55000000,5.8
Kent Alterman,Maura Tierney,33472850,Will Ferrell,Matt Walsh,3,55000000,5.8
Peter Lord,Russell Tovey,31051126,Salma Hayek,Brian Blessed,0,55000000,6.7
Clint Eastwood,Michael Kelly,35707327,Angelina Jolie Pitt,Colm Feore,0,55000000,7.8
Andrew Davis,Morgan Freeman,20550712,Keanu Reeves,Kevin Dunn,1,50000000,5.6
Tony Scott,Kurt Fuller,18573791,Robert De Niro,Ellen Barkin,3,55000000,5.8
Joel Schumacher,Minnie Driver,51225796,Gerard Butler,Miranda Richardson,0,70000000,7.4
Shekhar Kapur,Abbie Cornish,16264475,Eddie Redmayne,Jordi Mollà,1,55000000,6.9
Karyn Kusama,Sophie Okonedo,25857987,Charlize Theron,Paterson Joseph,0,62000000,5.5
Ron Maxwell,Bruce Boxleitner,12870569,Billy Campbell,John Castle,0,56000000,6.3
Robert Butler,Lauren Holly,11466088,Hector Elizondo,Jeffrey DeMunn,0,71000000,4.7
Karey Kirkpatrick,Ronny Cox,16088610,Stephen Root,Richard Schiff,2,55000000,5.6
James Bobin,Tina Fey,51178893,Ty Burrell,Hugh Bonneville,4,50000000,6.4
Jonathan Frakes,Philip Winchester,6768055,Sophia Myles,Brady Corbet,0,57000000,4.2
Steve Antin,Peter Gallagher,39440655,Eric Dane,David Walton,1,55000000,6.4
Jean-Pierre Jeunet,André Dussollier,6167817,Denis Lavant,Albert Dupontel,1,47000000,7.7
Stanley Kubrick,Shelley Winters,,James Mason,Lois Maxwell,0,2000000,7.7
Jim Gillespie,Tom Berenger,,Sylvester Stallone,Charles S. Dutton,1,55000000,5.3
Guillermo del Toro,Thomas Kretschmann,81645152,Norman Reedus,Tony Curran,1,54000000,6.7
Gabriele Muccino,Rosario Dawson,69951824,Will Smith,Madison Pettis,1,55000000,7.7
Walter Hill,Jason Momoa,9483821,Sylvester Stallone,Jon Seda,3,55000000,5.7
Francis Ford Coppola,Joe Mantegna,66676062,Al Pacino,Bridget Fonda,1,54000000,7.6
Cameron Crowe,Kirsten Dunst,26838389,Orlando Bloom,Judy Greer,0,57000000,6.4
Anthony Russo,Billy Gardell,75604320,Todd Stashwick,Amanda Detmer,1,54000000,5.6
Richard Lester,Ned Beatty,108200000,Margot Kidder,Jackie Cooper,4,54000000,6.8
Martin Brest,Lenny Venito,5660084,Todd Giebenhain,David Backus,0,54000000,2.4
Steven Zaillian,Anthony Hopkins,7221458,Kate Winslet,Kevin Dunn,0,55000000,6.2
